DBN,Demographic,Mean Scale Score
01M378,All Students,655
01M378,All Students,653
01M378,All Students,662
01M378,All Students,661
01M378,All Students,660
01M378,All Students,651
01M378,All Students,651
01M378,All Students,
01M378,All Students,
01M378,All Students,656
01M378,All Students,655
01M450,All Students,644
01M450,All Students,648
01M450,All Students,657
01M450,All Students,658
01M450,All Students,658
01M450,All Students,662
01M450,All Students,637
01M450,All Students,644
01M450,All Students,653
01M450,All Students,655
01M450,All Students,658
01M450,All Students,657
01M450,All Students,662
01M450,All Students,635
01M450,All Students,639
01M450,All Students,642
01M450,All Students,651
01M450,All Students,655
01M450,All Students,646
01M450,All Students,651
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,654
01M450,All Students,658
01M539,All Students,712
01M539,All Students,706
01M539,All Students,707
01M539,All Students,720
01M539,All Students,716
01M539,All Students,689
01M539,All Students,691
01M539,All Students,705
01M539,All Students,702
01M539,All Students,698
01M539,All Students,712
01M539,All Students,708
01M539,All Students,710
01M539,All Students,709
01M539,All Students,704
01M539,All Students,713
01M539,All Students,708
01M539,All Students,715
01M539,All Students,697
01M539,All Students,694
01M539,All Students,708
01M539,All Students,706
01M539,All Students,696
01M539,All Students,707
01M539,All Students,700
01M539,All Students,691
01M539,All Students,687
01M539,All Students,710
01M539,All Students,700
01M539,All Students,705
01M539,All Students,694
01M539,All Students,719
01M539,All Students,685
01M539,All Students,689
01M539,All Students,712
01M539,All Students,714
01M539,All Students,700
01M539,All Students,697
01M539,All Students,701
01M539,All Students,677
01M539,All Students,684
01M539,All Students,
01M539,All Students,
01M539,All Students,
01M539,All Students,
01M539,All Students,
01M539,All Students,690
01M539,All Students,692
01M839,All Students,658
01M839,All Students,659
01M839,All Students,662
01M839,All Students,663
01M839,All Students,662
01M839,All Students,664
01M839,All Students,652
01M839,All Students,656
01M839,All Students,662
01M839,All Students,669
01M839,All Students,672
01M839,All Students,667
01M839,All Students,668
01M839,All Students,648
01M839,All Students,659
01M839,All Students,669
01M839,All Students,666
01M839,All Students,669
01M839,All Students,655
01M839,All Students,664
01M839,All Students,
01M839,All Students,
01M839,All Students,
01M839,All Students,
01M839,All Students,
01M839,All Students,661
01M839,All Students,665
02M001,All Students,680
02M001,All Students,673
02M001,All Students,671
02M001,All Students,665
02M001,All Students,664
02M001,All Students,661
02M001,All Students,660
02M001,All Students,667
02M001,All Students,670
02M001,All Students,662
02M001,All Students,672
02M001,All Students,669
02M001,All Students,669
02M001,All Students,670
02M001,All Students,657
02M001,All Students,664
02M001,All Students,672
02M001,All Students,669
02M001,All Students,670
02M001,All Students,663
02M001,All Students,671
02M001,All Students,
02M001,All Students,
02M001,All Students,
02M001,All Students,
02M001,All Students,
02M001,All Students,664
02M001,All Students,666
02M002,All Students,674
02M002,All Students,666
02M002,All Students,659
02M002,All Students,665
02M002,All Students,663
02M002,All Students,660
02M002,All Students,659
02M002,All Students,658
02M002,All Students,655
02M002,All Students,663
02M002,All Students,672
02M002,All Students,676
02M002,All Students,679
02M002,All Students,678
02M002,All Students,674
02M002,All Students,657
02M002,All Students,671
02M002,All Students,680
02M002,All Students,680
02M002,All Students,665
02M002,All Students,667
02M002,All Students,
02M002,All Students,
02M002,All Students,
02M002,All Students,
02M002,All Students,
02M002,All Students,668
02M002,All Students,668
02M003,All Students,686
02M003,All Students,691
02M003,All Students,684
02M003,All Students,684
02M003,All Students,689
02M003,All Students,680
02M003,All Students,674
02M003,All Students,666
02M003,All Students,683
02M003,All Students,680
02M003,All Students,680
02M003,All Students,681
02M003,All Students,684
02M003,All Students,692
02M003,All Students,677
02M003,All Students,684
02M003,All Students,680
02M003,All Students,707
02M003,All Students,682
02M003,All Students,672
02M003,All Students,676
02M003,All Students,
02M003,All Students,
02M003,All Students,
02M003,All Students,
02M003,All Students,
02M003,All Students,678
02M003,All Students,681
02M006,All Students,692
02M006,All Students,699
02M006,All Students,683
02M006,All Students,694
02M006,All Students,683
02M006,All Students,677
02M006,All Students,682
02M006,All Students,689
02M006,All Students,684
02M006,All Students,698
02M006,All Students,690
02M006,All Students,693
02M006,All Students,696
02M006,All Students,698
02M006,All Students,699
02M006,All Students,698
02M006,All Students,686
02M006,All Students,694
02M006,All Students,680
02M006,All Students,684
02M006,All Students,684
02M006,All Students,
02M006,All Students,
02M006,All Students,
02M006,All Students,
02M006,All Students,
02M006,All Students,685
02M006,All Students,688
02M011,All Students,684
02M011,All Students,664
02M011,All Students,670
02M011,All Students,673
02M011,All Students,687
02M011,All Students,674
02M011,All Students,674
02M011,All Students,657
02M011,All Students,672
02M011,All Students,662
02M011,All Students,679
02M011,All Students,678
02M011,All Students,680
02M011,All Students,690
02M011,All Students,665
02M011,All Students,665
02M011,All Students,671
02M011,All Students,675
02M011,All Students,690
02M011,All Students,675
02M011,All Students,676
02M011,All Students,
02M011,All Students,
02M011,All Students,
02M011,All Students,
02M011,All Students,
02M011,All Students,676
