DBN,SCHOOL NAME,Reading,Math,Writing
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",423,420,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,632,688,649
10X475,JOHN F. KENNEDY HIGH SCHOOL,351,362,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,414,435,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s
10X546,BRONX THEATRE HIGH SCHOOL,348,362,354
10X549,DISCOVERY HIGH SCHOOL,372,379,364
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,362,382,356
10X667,GRACE DODGE YABC,350,356,317
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,636,648,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,370,381,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,400,357,390
11X265,BRONX LAB SCHOOL,377,391,367
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,386,394,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,381,376,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,444,471,433
11X290,BRONX ACADEMY OF HEALTH CAREERS,387,365,383
11X299,ASTOR COLLEGIATE ACADEMY,387,391,391
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,367,361,353
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,419,433,416
11X455,HARRY S TRUMAN HIGH SCHOOL,386,397,368
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s
11X513,NEW WORLD HIGH SCHOOL,332,381,335
11X514,THE BRONXWOOD PREPARATORY ACADEMY,377,372,363
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,372,382,375
11X542,PELHAM PREPARATORY ACADEMY,431,438,419
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,383,378,365
11X545,BRONX AEROSPACE HIGH SCHOOL,388,393,382
12X245,NEW DAY ACADEMY,348,344,354
12X248,"METROPOLITAN HIGH SCHOOL, THE",347,367,341
12X251,EXPLORATIONS ACADEMY,381,381,360
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,361,353,360
12X267,BRONX LATIN,408,432,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,366,378,358
12X278,PEACE AND DIVERSITY ACADEMY,390,401,364
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,321,351,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,380,372,349
12X478,THE CINEMA SCHOOL,s,s,s
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,398,385,398
12X550,HIGH SCHOOL OF WORLD CULTURES,304,323,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,342,346,341
12X684,WINGS ACADEMY,378,374,362
12X690,MONROE ACADEMY FOR BUSINESS/LAW,375,387,376
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,332,357,349
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,352,349,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,439,374,418
