DBN,SCHOOL,SCHOOL LEVEL,ENVIRONMENT RATING
01M015,P.S. 015 Roberto Clemente,Elementary,6.4
01M019,P.S. 019 Asher Levy,Elementary,7.8
01M020,P.S. 020 Anna Silver,Elementary,7.7
01M034,P.S. 034 Franklin D. Roosevelt,K-8,7.5
01M063,P.S. 063 William McKinley,Elementary,8.1
01M064,P.S. 064 Robert Simon,Elementary,9.7
01M110,P.S. 110 Florence Nightingale,Elementary,4.1
01M134,P.S. 134 Henrietta Szold,Elementary,4.2
01M137,P.S. 137 John L. Bernstein,Elementary,5.1
01M140,P.S. 140 Nathan Straus,K-8,8.4
01M142,P.S. 142 Amalia Castro,Elementary,10
01M184,P.S. 184m Shuang Wen,K-8,9.8
01M188,P.S. 188 The Island School,K-8,4.1
01M292,Henry Street School for International Studies,Middle,5.1
01M292,Henry Street School for International Studies,High School,6.9
01M301,"Technology, Arts, and Sciences Studio",Middle,7
01M315,The East Village Community School,Elementary,8.6
01M332,University Neighborhood Middle School,Middle,10.6
01M345,"Collaborative Academy of Science, Technology, & La",Middle,6.8
01M361,The Children's Workshop School,Elementary,7.7
01M363,Neighborhood School,Elementary,5.1
01M364,Earth School,Elementary,11.1
01M378,School for Global Leaders,Middle,8.6
01M448,University Neighborhood High School,High School,6.9
01M450,East Side Community School,Middle,12.5
01M450,East Side Community School,High School,12.9
01M458,Forsyth Satellite Academy,Transfer High School,
01M509,Marta Valle High School,High School,6.7
01M515,Lower East Side Preparatory High School,Transfer High School,9.4
01M539,"New Explorations into Science, Technology and Math",K-8,6.8
01M539,"New Explorations into Science, Technology and Math High School",High School,7.7
01M650,Cascades High School,Transfer High School,11.8
01M696,Bard High School Early College,High School,11.7
01M839,Tompkins Square Middle School,Middle,12.9
02M001,P.S. 001 Alfred E. Smith,Elementary,4.6
02M002,P.S. 002 Meyer London,Elementary,8.9
02M003,P.S. 003 Charrette School,Elementary,8.9
02M006,P.S. 006 Lillie D. Blake,Elementary,5.8
02M011,P.S. 011 William T. Harris,Elementary,11.3
02M033,P.S. 033 Chelsea Prep,Elementary,13.3
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,9.6
02M041,P.S. 041 Greenwich Village,Elementary,11.9
02M042,P.S. 042 Benjamin Altman,Elementary,10.1
02M047,47 The American Sign Language and English Secondary School,High School,11.5
02M051,P.S. 051 Elias Howe,Elementary,11
02M059,P.S. 059 Beekman Hill International,Elementary,9.6
02M077,P.S. 77 Lower Lab School,Elementary,9.2
02M089,P.S. 89,Elementary,8.8
02M104,J.H.S. 104 Simon Baruch,Middle,6.9
02M111,P.S. 111 Adolph S. Ochs,K-8,5
02M114,East Side Middle School,Middle,13.1
02M116,P.S. 116 Mary Lindley Murray,Elementary,8.8
02M124,P.S. 124 Yung Wing,Elementary,7.4
02M126,P.S. 126 Jacob August Riis,K-8,6
02M130,P.S. 130 Hernando De Soto,Elementary,12
02M131,M.S. 131,Middle,8.7
02M150,P.S. 150,Elementary,10.4
02M158,P.S. 158 Bayard Taylor,Elementary,3.9
02M167,J.H.S. 167 Robert F. Wagner,Middle,7
02M183,P.S. 183 Robert L. Stevenson,Elementary,6
02M198,P.S. 198 Isador E. Ida Straus,Elementary,1.9
02M212,P.S. 212 Midtown West,Elementary,10.6
02M217,P.S./I.S. 217 Roosevelt Island,K-8,4.8
02M225,Ella Baker School,K-8,7.7
02M234,P.S. 234 Independence School,Elementary,9.2
02M255,M.S. 255 Salk School of Science,Middle,11.4
02M260,M.S. 260 Clinton School Writers & Artists,Middle,6.7
02M276,BATTERY PARK CITY SCHOOL,Middle,10
02M288,Food and Finance High School,High School,8.5
02M289,I.S. 289,Middle,9.1
02M290,P.S. 290 Manhattan New School,Elementary,11.5
02M294,Essex Street Academy,High School,10.8
02M296,High School of Hospitality Management,High School,10.7
02M298,Pace High School,High School,9.1
02M300,"Urban Assembly School of Design and Construction, The",High School,8.9
02M303,"Facing History School, The",High School,10.8
02M305,"Urban Assembly Academy of Government and Law, The",High School,5
02M308,Lower Manhattan Arts Academy,High School,9.7
02M312,New York City Lab Middle School for Collaborative,Middle,10.7
02M313,"James Baldwin School, The: A School for Expeditionary Learning",Transfer High School,9.7
02M316,"Urban Assembly School of Business for Young Women, the",High School,9.1
02M347,The 47 American Sign Language & English Lower Scho,K-8,10
02M374,Gramercy Arts High School,High School,4.7
02M376,NYC iSchool,High School,
02M392,MANHATTAN BUSINESS ACADEMY,High School,
02M393,BUSINESS OF SPORTS SCHOOL,High School,
02M394,EMMA LAZARUS HIGH SCHOOL,Transfer High School,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,
02M400,High School for Environmental Studies,High School,8.9
02M407,Institute for Collaborative Education,Middle,10.9
02M407,Institute for Collaborative Education,High School,13.4
02M408,Professional Performing Arts High School,Middle,5.1
02M408,Professional Performing Arts High School,High School,8
02M411,Baruch College Campus High School,High School,9.1
02M412,N.Y.C. Lab School for Collaborative Studies,High School,10.3
02M413,School of the Future High School,Middle,8.8
02M413,School of the Future High School,High School,10.3
02M414,N.Y.C. Museum School,High School,6.2
02M416,Eleanor Roosevelt High School,High School,12
02M418,Millennium High School,High School,10.4
02M419,Landmark High School,High School,5.3
02M420,High School for Health Professions and Human Services,High School,7.8
02M422,Quest to Learn,Middle,8.3
02M425,Leadership and Public Service High School,High School,7.9
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,
02M429,Legacy School for Integrated Studies,High School,6
02M432,MURRAY HILL ACADEMY,Transfer High School,
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,High School,
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,High School,
02M439,Manhattan Village Academy,High School,13.3
02M440,Bayard Rustin Educational Complex,High School,
02M442,"Ballet Tech, NYC Public School for Dance",K-8,10.8
02M449,Vanguard High School,High School,10.5
02M459,Manhattan International High School,High School,11.2
02M460,Washington Irving High School,High School,6
02M560,High School M560 - City As School,Transfer High School,11.6
02M475,Stuyvesant High School,High School,8.4
02M489,High School of Economics and Finance,High School,9.2
02M500,Unity Center for Urban Technologies,High School,10.1
02M519,Talent Unlimited High School,High School,6.4
02M520,Murry Bergtraum High School for Business Careers,High School,3.3
02M529,Jacqueline Kennedy Onassis High School,High School,7.3
02M531,Repertory Company High School for Theatre Arts,High School,6.7
02M542,Manhattan Bridges High School,High School,11.9
02M543,New Design High School,High School,9.5
02M544,Independence High School,Transfer High School,11.3
02M545,High School for Dual Language and Asian Studies,High School,8.7
02M550,Liberty High School Academy for Newcomers,Transfer High School,4
02M551,The Urban Assembly New York Harbor School,High School,8.5
02M565,Urban Academy Laboratory High School,Transfer High School,14.8
02M473,Washington Irving Yabc,YABC,10.5
02M570,Satellite Academy High School,Transfer High School,13.3
02M575,Manhattan Comprehensive Night and Day High School,Transfer High School,11.9
02M580,Richard R. Green High School of Teaching,High School,10.7
02M586,Harvey Milk High School,Transfer High School,4.3
02M600,The High School of Fashion Industries,High School,8
02M605,Humanities Preparatory Academy,Transfer High School,3.6
02M615,Chelsea Career and Technical Education High School,High School,6.8
02M620,Norman Thomas High School,High School,
02M625,High School of Graphic Communication Arts,High School,3.9
02M630,Art and Design High School,High School,8.2
02M655,Life Sciences Secondary School,Middle,6
02M655,Life Sciences Secondary School,High School,8.2
02M896,Lower Manhattan Community Middle School,Middle,9.9
03M009,P.S. 009 Sarah Anderson,Elementary,10.2
03M044,J.H.S. M044 William J. O'Shea,Middle,
03M054,J.H.S. 054 Booker T. Washington,Middle,8.2
03M075,P.S. 075 Emily Dickinson,Elementary,6.7
03M076,P.S. 076 A. Philip Randolph,K-8,11.1
03M084,P.S. 084 Lillian Weber,Elementary,3.5
03M087,P.S. 087 William Sherman,Elementary,3.5
03M145,"P.S. 145, The Bloomingdale School",Elementary,5.2
03M149,P.S. 149 Sojourner Truth,K-8,4.4
03M163,P.S. 163 Alfred E. Smith,Elementary,7.1
03M165,P.S. 165 Robert E. Simon,K-8,10.2
03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,6.7
03M180,P.S. 180 Hugo Newman,K-8,9.7
03M185,P.S. 185 John M. Langston,K-2,8.8
03M191,P.S. 191 Amsterdam,K-8,3.6
03M199,P.S. 199 Jessie Isador Straus,Elementary,8.2
03M208,P.S. 208 Alain L. Locke,Elementary,7.8
03M241,P.S. 241 Family Academy,K-8,9.8
03M242,PS M242-Gwendolyn Powell Brown Computer School,Elementary,5.9
03M243,M.S. 243 Center School,Middle,13.3
03M245,M.S. M245 The Computer School,Middle,12.6
03M247,M.S. M247 Dual Language Middle School,Middle,14.3
03M250,M.S. 250 West Side Collaborative Middle School,Middle,13.5
03M256,M.S. 256 Academic & Athletic Excellence,Middle,8
03M258,Community Action School - MS 258,Middle,11.9
03M283,Manhattan Theatre Lab High School,High School,4.3
03M299,"High School for Arts, Imagination and Inquiry",High School,5.6
03M307,"Urban Assembly School for Media Studies, The",High School,10.5
03M333,P.S. 333 Manhattan School for Children,K-8,6.9
03M334,The Anderson School,K-8,11.5
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,High School,
03M403,THE GLOBAL LEARNING COLLABORATIVE,High School,
03M404,INNOVATION DIPLOMA PLUS,Transfer High School,
03M415,Wadleigh Secondary School for the Performing & Vis,Middle,1.3
03M415,Wadleigh Secondary School for the Performing & Visual Arts,High School,4.2
03M417,FRANK McCOURT HIGH SCHOOL,High School,
03M421,WEST PREP ACADEMY,Middle,2.8
03M470,Louis D. Brandeis High School,High School,
03M479,Beacon High School,High School,10.1
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,High School,7.7
03M492,"High School for Law, Advocacy and Community Justice",High School,9
03M494,High School of Arts and Technology,High School,4.8
03M505,Edward A. Reynolds West Side High School,Transfer High School,5.5
03M541,Manhattan / Hunter Science High School,High School,10
03M577,Brandeis Yabc,YABC,
03M859,Special Music School,K-8,8
03M860,Frederick Douglass Academy II Secondary School,Middle,2
03M860,Frederick Douglass Academy II Secondary School,High School,7
03M862,Mott Hall II,Middle,10.1
04M007,P.S. 007 Samuel Stern,K-8,5.1
04M012,Tag Young Scholars,K-8,10.6
04M013,J.H.S. 013 Jackie Robinson,Middle,3.1
04M037,River East Elementary,Elementary,12.5
04M038,P.S. 38 Roberto Clemente,Elementary,3.4
04M045,M.S. 45/S.T.A.R.S. Prep Academy,Middle,4.8
04M050,P.S. 050 Vito Marcantonio,K-8,2.9
04M057,James Weldon Johnson,K-8,12.7
04M072,The Lexington Academy,Elementary,10.4
04M083,P.S. 083 Luis Munoz Rivera,Elementary,11
04M096,P.S. 096 Joseph Lanzetta,K-8,3.9
04M102,P.S. 102 Jacques Cartier,Elementary,10.2
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,9.8
04M112,P.S. 112 Jose Celso Barbosa,K-2,10.1
04M146,P.S. 146 Ann M. Short,Elementary,5.3
04M155,P.S. 155 William Paca,Elementary,8.3
04M171,P.S. 171 Patrick Henry,K-8,10.3
04M182,The Bilingual Bicultural School,Elementary,9.2
04M206,P.S. 206 Jose Celso Barbosa,Elementary,8.4
04M224,M.S. 224 Manhattan East School for Arts & Academic,Middle,5.6
04M372,ESPERANZA PREPARATORY ACADEMY,Middle,13.2
04M375,Mosaic Preparatory Academy,Elementary,9.3
04M377,Renaissance School of the Arts,Middle,8
04M381,Global Neighborhood Secondary School,Middle,7.6
04M406,GLOBAL TECHNOLOGY PREPARATORY,Middle,13.9
04M409,Coalition School for Social Change,High School,10.2
04M435,Manhattan Center for Science and Mathematics,High School,5.9
04M495,Park East High School,High School,9.4
04M497,Central Park East I,Elementary,10.7
04M555,Central Park East High School,High School,11.2
04M610,Young Women's Leadership School,Middle,11.3
04M610,Young Women's Leadership School,High School,12.2
04M635,Academy of Environmental Science Secondary High School,High School,
04M680,"Heritage School, The",High School,6.1
04M825,Isaac Newton Middle School for Math & Science,Middle,8.1
04M964,Central Park East II,Elementary,12.3
05M030,P.S. 030 Hernandez/Hughes,Elementary,4.4
05M036,P.S. 036 Margaret Douglas,Elementary,4.7
05M046,P.S. 046 Arthur Tappan,K-8,10
05M092,P.S. 092 Mary McLeod Bethune,Elementary,8.3
05M123,P.S. 123 Mahalia Jackson,K-8,5.2
05M125,P.S. 125 Ralph Bunche,Elementary,4.9
05M129,P.S. 129 John H. Finley,K-8,7.6
05M133,P.S. 133 Fred R Moore,Elementary,1.2
05M154,P.S. 154 Harriet Tubman,Elementary,7.5
05M161,P.S. 161 Pedro Albizu Campos,K-8,10.3
05M175,P.S. 175 Henry H Garnet,Elementary,4.8
05M194,P.S. 194 Countee Cullen,Elementary,1.2
05M195,I.S. 195 Roberto Clemente,Middle,
05M197,P.S. 197 John B. Russwurm,Elementary,7.3
05M200,P.S. 200- The James Mccune Smith School,Elementary,4.7
05M285,Harlem Renaissance High School,Transfer High School,7.7
05M286,I.S. M286 Renaissance Military Leadership Academy,Middle,9.6
05M302,KAPPA IV,Middle,10.3
05M304,Mott Hall High School,High School,8.4
05M317,Kappa II,Middle,
05M318,Thurgood Marshall Academy Lower School,Elementary,8
05M344,Academy of Collaborative Education,Middle,
05M362,Columbia Secondary School,Middle,7
05M362,Columbia Secondary School,High School,
05M367,Academy for Social Action: A College Board School,Middle,3.2
05M367,Academy for Social Action: A College Board School,High School,5.8
05M369,Urban Assembly School for the Performing Arts,High School,1.4
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Middle,6.4
05M469,Choir Academy of Harlem,Middle,7.4
05M469,Choir Academy of Harlem,High School,9.7
05M499,Frederick Douglass Academy,Middle,3.3
05M499,Frederick Douglass Academy,High School,5.1
05M670,Thurgood Marshall Academy for Learning and Social,Middle,8.2
05M670,Thurgood Marshall Academy for Learning and Social Change,High School,8.5
05M685,Bread & Roses Integrated Arts High School,High School,5.4
05M692,"High School for Mathematics, Science and Engineering at City College",High School,9.3
06M004,P.S. 004 Duke Ellington,Elementary,7.5
06M005,P.S. 005 Ellen Lurie,Elementary,7.1
06M008,P.S. 008 Luis Belliard,Elementary,10.8
06M018,P.S. 018 Park Terrace,K-8,11.8
06M028,P.S. 028 Wright Brothers,Elementary,9.9
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,9.5
06M052,J.H.S. 052 Inwood,Middle,11.8
06M098,P.S. 098 Shorac Kappock,Elementary,6.4
06M115,P.S. 115 Alexander Humboldt,Elementary,4.7
06M128,P.S. 128 Audubon,Elementary,8.7
06M132,P.S. 132 Juan Pablo Duarte,Elementary,7.9
06M143,J.H.S. 143 Eleanor Roosevelt,Middle,7.6
06M152,P.S. 152 Dyckman Valley,Elementary,3
06M153,P.S. 153 Adam Clayton Powell,Elementary,9.6
06M173,P.S. 173,Elementary,4.6
06M178,Professor Juan Bosch Public School,K-2,10.9
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,7.3
06M189,P.S. 189,Elementary,8.9
06M192,P.S. 192 Jacob H. Schiff,Elementary,10.2
06M210,P.S./I.S. 210 - Twenty-first Century Academy for,K-8,11.9
06M218,I.S. 218 Salome Urena,Middle,6.5
06M223,The Mott Hall School,Middle,7.9
06M278,Paula Hedbavny School,K-8,8.8
06M293,City College Academy of the Arts,Middle,11.4
06M293,City College Academy of the Arts,High School,
06M311,Amistad Dual Language School,K-8,11.6
06M314,Muscota,Elementary,8
06M319,M.S. 319 - Maria Teresa,Middle,11.7
06M321,M.S. 321 - Minerva,Middle,
06M322,Middle School 322,Middle,8
06M324,M.S. 324 - Patria Mirabal,Middle,13.5
06M325,P.S. 325,Elementary,9.3
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,Middle,9.7
06M328,M.S. 328 - Manhattan Middle School for Scientific,Middle,12.3
06M346,Community Health Academy of the Heights,Middle,5.1
06M346,Community Health Academy of the Heights,High School,
06M348,Washington Heights Expeditionary Learning School,Middle,11.6
06M348,Washington Heights Expeditionary Learning School,High School,
06M349,Harbor Heights,Middle,14.1
06M366,Washington Heights Academy,Elementary,3.6
06M368,Hamilton Heights School,Elementary,10.1
06M423,High School for Excellence and Innovation,Transfer High School,
06M457,George Washington Yabc,YABC,15
06M462,High School for International Business and Finance,High School,10.3
06M463,High School for Media and Communications,High School,8.1
06M467,High School for Law and Public Service,High School,10.7
06M468,High School for Health Careers and Sciences,High School,9.1
06M528,I.S. 528 Bea Fuller Rodgers School,Middle,8.9
06M540,A. Philip Randolph Campus High School,High School,4.4
06M552,Gregorio Luperon High School for Science and Mathematics,High School,12.2
07X001,P.S. 001 Courtlandt School,Elementary,5
07X005,P.S. 005 Port Morris,Elementary,10.7
07X018,P.S. 018 John Peter Zenger,Elementary,2.3
07X025,P.S. 025 Bilingual School,Elementary,9.6
07X029,P.S./M.S. 029 Melrose School,K-8,5.3
07X030,P.S. 030 Wilton,Elementary,8
07X031,P.S./M.S. 031 The William Lloyd Garrison,K-8,7.2
07X043,P.S. 043 Jonas Bronck,Elementary,8.1
07X049,P.S. 049 Willis Avenue,Elementary,6.8
07X065,P.S. 065 Mother Hale Academy,Elementary,5.2
07X151,J.H.S. 151 Lou Gehrig,Middle,10.6
27Q465,Far Rockaway High School,High School,
07X154,P.S. 154 Jonathan D. Hyatt,Elementary,3.6
07X157,P.S. 157 Grove Hill,Elementary,4.5
07X161,P.S. 161 Ponce De Leon,Elementary,6.1
07X162,J.H.S. 162 Lola Rodriguez De Tio,Middle,2.9
07X179,P.S. 179,Elementary,7.7
07X203,M.S. 203,Middle,3.8
07X221,South Bronx Preparatory: A College Board School,Middle,7
07X221,South Bronx Preparatory: A College Board School,High School,9.3
07X223,M.S. 223 The Laboratory School of Finance and Tech,Middle,10.5
07X224,P.S. / I.S. 224,Middle,0.4
07X277,P.S. 277,Elementary,8.7
07X296,South Bronx Academy for Applied Media,Middle,9.5
07X298,Academy of Public Relations,Middle,6.2
07X321,Crotona Academy High School,Transfer High School,14.7
07X334,International Community High School,High School,11.2
07X343,Academy of Applied Mathematics and Technology,Middle,11.5
07X369,Young Leaders Elementary School,Elementary,6
07X379,Jill Chaifetz Transfer High School,Transfer High School,6.3
07X381,Bronx Haven High School,Transfer High School,7.3
07X385,Performance School,Elementary,5.3
07X427,Community School for Social Justice,High School,11.2
07X456,Alfred E. Smith Campus YABC,YABC,14.2
07X473,Mott Haven Village Preparatory High School,High School,9.2
07X495,University Heights Secondary School,High School,8.3
07X500,Hostos-Lincoln Academy of Science,Middle,7.2
07X500,Hostos-Lincoln Academy of Science,High School,7.4
07X520,Foreign Language Academy of Global Studies,High School,8.3
07X527,Bronx Leadership Academy II High School,High School,6.9
07X547,New Explorers High School,High School,12.1
07X548,Urban Assembly School for Careers in Sports,High School,9.2
07X551,Bronx Academy of Letters,Middle,6.7
07X551,Bronx Academy of Letters,High School,9.1
07X600,Alfred E. Smith Career and Technical Education High School,High School,4.6
07X655,Samuel Gompers Career and Technical Education High School,High School,4.6
07X670,Health Opportunities High School,High School,7.6
08X014,P.S. X014 Senator John Calandra,Elementary,5.3
08X036,P.S. 036 Unionport,Elementary,8.5
08X048,P.S. 048 Joseph R. Drake,Elementary,5.3
08X062,P.S. 062 Inocensio Casanova,Elementary,5.6
08X069,P.S. 069 The New Vision School,Elementary,9.2
08X071,P.S. 071 Rose E. Scala,K-8,4.6
08X072,P.S. 072 Dr. William Dorney,Elementary,6
08X075,P.S. 075,Elementary,5.7
08X093,P.S. 093 Albert G. Oliver,Elementary,7.5
08X100,P.S. 100 Isaac Clason,Elementary,4.7
08X101,M.S. X101 Edward R. Byrne,Middle,8.5
08X107,P.S. 107,Elementary,2.7
08X119,P.S. 119,Elementary,5.8
08X123,J.H.S. 123 James M. Kieran,Middle,5.3
08X125,J.H.S. 125 Henry Hudson,Middle,4.4
08X130,P.S. 130 Abram Stevens Hewitt,Elementary,7.3
08X131,J.H.S. 131 Albert Einstein,Middle,4
08X138,P.S. 138 Samuel Randall,Elementary,7.4
08X140,P.S. X140 The Eagle School,Elementary,5.2
08X146,P.S. 146 Edward Collins,Elementary,8.9
08X152,P.S. 152 Evergreen,Elementary,8.1
08X182,P.S. 182,Elementary,6.3
08X269,Bronx Studio School for Writers and Artists,Middle,4.9
08X269,Bronx Studio School for Writers and Artists,High School,
08X282,Women's Academy of Excellence,High School,5.2
08X293,Renaissance High School for Musical Theater & Technology,High School,9.2
08X295,Gateway School for Environmental Research and Technology,High School,5.9
08X301,M.S. 301 Paul L. Dunbar,Middle,5
08X302,M.S. 302 Luisa Dessus Cruz,Middle,8.6
08X304,P.S. 304 Early Childhood School,Elementary,10.3
08X305,Pablo Neruda Academy for Architecture and World Studies,High School,8.3
08X312,Millennium Art Academy,High School,10.6
08X332,Holcombe L. Rucker School of Community Research,High School,8.9
08X333,P.S. 333 - The Museum School,Elementary,6
08X335,The Academy of the Arts,Elementary,7.3
08X337,The School for Inquiry and Social Justice,Middle,7.8
08X366,Urban Assembly Academy of Civic Engagement,Middle,5.2
08X367,"Archimedes Academy for Math, Science and Technolog",Middle,4.4
08X367,"Archimedes Academy for Math, Science and Technology Applications",High School,
08X371,Urban Institute of Mathematics,Middle,7
08X375,The Bronx Mathematics Preparatory School,Middle,4.8
08X376,"Antonia Pantoja Preparatory Academy, A College Boa",Middle,2.5
08X376,"Antonia Pantoja Preparatory Academy, A College Board School",High School,
08X377,Bronx Community High School,Transfer High School,11.1
08X405,Herbert H. Lehman High School,High School,4.4
08X408,Herbert H. Lehman Yabc,YABC,13.5
08X424,The Hunts Point School,Middle,6.1
08X432,BRONX BRIDGES HIGH SCHOOL,High School,
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,Middle,4.9
08X452,Bronx Guild,High School,8.5
08X467,MOTT HALL COMMUNITY SCHOOL,Middle,9.9
08X507,Stevenson Yabc,YABC,11.2
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",High School,9.4
08X530,Banana Kelly High School,High School,9.2
08X540,School for Community Research and Learning,High School,
08X560,High School X560 - Bronx Academy High School,Transfer High School,
08X650,Jane Addams High School for Academic Careers,High School,3.7
09X002,P.S. 002 Morrisania,Elementary,
09X004,P.S./M.S. 004 Crotona Park West,K-8,6.7
09X011,P.S. 011 Highbridge,Elementary,2.9
09X022,J.H.S. 022 Jordan L. Mott,Middle,7.6
09X028,P.S. 028 Mount Hope,Elementary,9.1
09X035,P.S. 035 Franz Siegel,Elementary,8.1
09X042,P.S. 042 Claremont,Elementary,6
09X053,P.S. 053 Basheer Quisim,Elementary,3.8
09X055,P.S. 055 Benjamin Franklin,Elementary,4
09X058,P.S. 058,Elementary,1.4
09X063,P.S. 063 Author's Academy,Elementary,7.3
09X064,P.S. 064 Pura Belpre,Elementary,6.6
09X070,P.S. 070 Max Schoenfeld,Elementary,5.5
09X073,P.S. 073 Bronx,Elementary,6.7
09X088,P.S. X088 - S. Silverstein Little Sparrow School,K-3,8.3
09X090,P.S. 090 George Meany,Elementary,
09X109,P.S. 109 Sedgwick,Elementary,9
09X110,P.S. 110 Theodore Schoenfeld,Elementary,8.3
09X114,P.S. X114 - Luis Llorens Torres Schools,Elementary,6.7
09X117,I.S. 117 Joseph H. Wade,Middle,6.4
09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,3.7
09X128,Mott Hall III,Middle,7
09X132,P.S. 132 Garret A. Morgan,Elementary,4.2
09X145,J.H.S. 145 Arturo Toscanini,Middle,11.4
09X163,P.S. 163 Arthur A. Schomburg,Elementary,5.1
09X166,J.H.S. 166 Roberto Clemente,Middle,
09X170,P.S. 170,K-2,13.1
09X199,P.S. 199X - The Shakespeare School,Elementary,6.6
09X204,P.S. 204 Morris Heights,Elementary,13.4
09X215,Kappa,Middle,8.8
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,K-8,10.8
09X219,I.S. 219 New Venture School,Middle,3.9
09X227,Bronx Expeditionary Learning High School,High School,9.8
09X229,I.S. 229 Roland Patterson,Middle,5.5
09X230,P.S. 230 Dr Roland N. Patterson,Elementary,3.5
09X231,Eagle Academy for Young Men,High School,9.7
09X232,I.S. 232,Middle,7.6
09X236,P.S. 236 Langston Hughes,K-2,8.6
09X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",High School,
09X241,Urban Assembly School for Applied Math and Science,Middle,7.8
09X241,"Urban Assembly School for Applied Math and Science, The",High School,9.7
09X250,Eximius College Preparatory Academy: A College Boa,Middle,
09X250,Eximius College Preparatory Academy: A College Board School,High School,7.9
09X252,Mott Hall Bronx High School,High School,9
09X260,Bronx Center for Science and Mathematics,High School,9.1
09X263,Validus Preparatory Academy: An Expeditionary Learning School,High School,11.4
09X276,Leadership Institute,High School,8.5
09X297,Morris Academy for Collaborative Studies,High School,8.2
09X303,I.S. X303 Leadership & Community Service,Middle,8.8
09X313,I.S. 313 School of Leadership Development,Middle,4.6
09X323,Bronx Writing Academy,Middle,3.5
09X324,Bronx Early College Academy for Teaching & Learnin,Middle,7.5
09X324,Bronx Early College Academy for Teaching & Learning,High School,
09X325,Urban Science Academy,Middle,4.9
09X327,Comprehensive Model School Project M.S. 327,Middle,7.6
09X328,New Millennium Business Academy Middle School,Middle,3.8
09X329,DreamYard Preparatory School,High School,6
09X339,I.S. 339,Middle,3.9
09X365,Academy for Language and Technology,High School,11.9
09X403,Bronx International High School,High School,9.5
09X404,School for Excellence,High School,7.8
09X412,Bronx High School of Business,High School,7.9
09X413,Bronx High School for Medical Science,Middle,9.4
09X413,Bronx High School for Medical Science,High School,10.8
09X414,Jonathan Levin High School for Media and Communications,High School,9.1
09X443,THE FAMILY SCHOOL,K-3,6.3
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,Middle,9.8
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,K-3,10.1
09X505,"Bronx School for Law, Government and Justice",Middle,8.1
09X505,"Bronx School for Law, Government and Justice",High School,9.8
09X517,Frederick Douglass Academy III Secondary School,Middle,
09X517,Frederick Douglass Academy III Secondary School,High School,8.1
09X525,Bronx Leadership Academy High School,High School,10
09X543,High School for Violin and Dance,High School,8
10X003,P.S. 3 Raul Julia Micro Society,K-8,3.4
10X007,P.S. 007 Kingsbridge,Elementary,11.4
10X008,P.S. 008 Issac Varian,Elementary,4.5
10X009,P.S. 9 Ryer Avenue Elementary School,Elementary,5.6
10X015,P.S. X015 Institute for Environmental Learning,K-8,13
10X020,P.S. 20 P.O.George J. Werdan III,K-8,6.4
10X023,P.S. 023 The New Children's School,K-2,7.6
10X024,P.S. 024 Spuyten Duyvil,Elementary,3
10X032,P.S. 032 Belmont,Elementary,9.4
10X033,P.S. 033 Timothy Dwight,Elementary,7.9
10X037,P.S. X037 - Multiple Intelligence School,K-8,5.3
10X045,Thomas C. Giordano Middle School 45,Middle,5.7
10X046,P.S. 046 Edgar Allan Poe,Elementary,4.9
10X051,P.S. 051 Bronx New School,Elementary,10.5
10X054,P.S. / I.S. 54,Elementary,2.1
10X056,P.S. 056 Norwood Heights,Elementary,10.1
10X059,P.S. 059 The Community School of Technology,Elementary,6.8
10X079,P.S. 079 Creston,Middle,
10X080,J.H.S. 080 The Mosholu Parkway,Middle,2.5
10X081,P.S. 081 Robert J. Christen,Elementary,7.9
10X085,P.S. 085 Great Expectations,Elementary,4.4
10X086,P.S. 086 Kingsbridge Heights,Elementary,12.5
10X091,P.S. 091 Bronx,Elementary,2.5
10X094,P.S. 094 Kings College School,Elementary,4.8
10X095,P.S. 095 Sheila Mencher,K-8,1.5
10X118,J.H.S. 118 William W. Niles,Middle,4.9
10X141,Riverdale / Kingsbridge Academy (Middle School / H,Middle,2.9
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),High School,6.5
10X159,P.S. 159 Luis Munoz Marin Biling,Elementary,9.5
